time,open,high,low,close,volume
2023-01-03,48.31,50.26,48.25,50.26,1538861
2023-01-04,50.76,50.89,49.82,50.26,796544
2023-01-05,50.39,51.20,50.39,50.64,1014719
2023-01-06,50.51,50.95,50.39,50.45,721096
2023-01-09,50.58,50.83,50.20,50.45,520315
2023-01-10,50.70,51.08,50.39,50.51,754254
2023-01-11,50.51,51.27,50.51,50.83,1078639
2023-01-12,50.89,51.20,50.39,50.70,544065
2023-01-13,50.58,51.02,50.26,50.26,629501
2023-01-16,50.32,50.89,50.07,50.76,576876
2023-01-17,51.02,51.52,50.89,51.52,980634
2023-01-18,51.58,52.40,51.39,52.40,956810
2023-01-19,52.15,52.90,52.08,52.71,1329468
2023-01-27,52.84,53.72,52.78,52.78,1145253
2023-01-30,52.90,53.03,52.59,52.59,893299
2023-01-31,52.46,52.59,51.33,52.46,1531495
2023-02-01,52.78,52.78,51.39,51.52,1051061
2023-02-02,51.58,51.77,51.08,51.46,1327690
2023-02-03,51.52,51.52,50.32,50.32,1730152
2023-02-06,50.26,51.27,50.07,50.58,946115
2023-02-07,50.58,51.46,50.58,50.70,752838
2023-02-08,50.76,51.33,50.64,51.02,671553
2023-02-09,50.89,51.27,50.70,50.70,743939
2023-02-10,50.95,51.02,50.58,50.70,725810
2023-02-13,50.70,51.02,50.26,50.70,614692
2023-02-14,50.70,50.89,50.39,50.76,621417
2023-02-15,50.58,51.46,50.45,51.27,646219
2023-02-16,51.27,51.52,50.70,51.27,425495
2023-02-17,51.02,51.27,50.89,51.27,468845
2023-02-20,51.27,52.15,51.14,52.02,1277504
2023-02-21,52.02,52.59,51.90,52.02,841841
2023-02-22,51.71,51.83,51.39,51.39,748561
2023-02-23,51.33,51.33,50.64,51.14,1161953
2023-02-24,50.95,51.08,50.51,50.76,559986
2023-02-27,50.26,50.58,50.20,50.45,1016698
2023-02-28,50.26,50.70,49.95,50.58,525466
2023-03-01,49.95,50.58,49.44,50.58,1377551
2023-03-02,50.26,50.58,50.14,50.26,431732
2023-03-03,49.82,50.26,49.32,49.32,741791
2023-03-06,49.07,50.14,49.07,49.13,818674
2023-03-07,49.70,50.20,49.51,49.51,793553
2023-03-08,49.32,49.95,49.32,49.95,511968
2023-03-09,49.95,50.70,49.76,50.64,641624
2023-03-10,50.39,50.51,49.63,49.95,641543
2023-03-13,49.07,49.88,49.07,49.57,887883
2023-03-14,49.63,49.70,49.32,49.44,428257
2023-03-15,49.70,50.58,49.70,50.58,693264
2023-03-16,50.26,50.26,49.26,49.76,850831
2023-03-17,50.01,50.26,49.38,49.63,430362
2023-03-20,49.70,49.82,48.75,48.75,771192
2023-03-21,49.38,49.44,48.44,49.07,537316
2023-03-22,49.13,49.38,48.75,49.32,611402
2023-03-23,49.26,49.32,48.75,49.00,357327
2023-03-24,49.19,49.51,49.00,49.38,367884
2023-03-27,49.57,49.76,49.32,49.70,768784
2023-03-28,49.76,49.76,48.69,49.76,1001517
2023-03-29,49.76,49.82,49.38,49.63,405351
2023-03-30,49.63,49.82,49.51,49.70,409438
2023-03-31,49.70,49.95,49.63,49.70,672646
2023-04-03,49.88,50.83,49.70,50.83,1172390
2023-04-04,50.83,50.89,50.26,50.58,585746
