time,open,high,low,close,volume
2023-01-03,53.80,56.80,53.40,56.80,2010563
2023-01-04,56.90,57.10,55.90,56.00,1930194
2023-01-05,56.10,56.90,55.80,56.20,1643187
2023-01-06,56.00,56.10,54.90,56.10,1952310
2023-01-09,56.20,56.20,55.00,55.00,1205370
2023-01-10,55.00,55.00,53.60,54.50,1744647
2023-01-11,54.50,55.50,54.10,55.10,1087037
2023-01-12,55.50,55.50,54.50,55.00,1067878
2023-01-13,55.00,55.30,54.40,55.00,1224806
2023-01-16,55.00,55.00,53.40,54.80,1688302
2023-01-17,53.50,55.20,53.50,55.20,1372574
2023-01-18,55.40,56.70,55.00,56.70,1648359
2023-01-19,56.30,57.40,56.00,57.40,2344625
2023-01-27,57.80,59.30,57.60,59.20,2199758
2023-01-30,59.50,59.50,57.50,57.70,1126330
2023-01-31,58.10,58.50,56.50,57.10,1379316
2023-02-01,57.60,57.60,54.80,55.20,1853669
2023-02-02,55.20,56.10,55.10,55.80,1329685
2023-02-03,56.00,56.00,55.00,56.00,1200061
2023-02-06,55.30,56.00,54.30,56.00,1417065
2023-02-07,56.00,56.00,53.60,55.00,1646544
2023-02-08,54.60,54.60,53.00,54.40,2147467
2023-02-09,53.50,54.50,52.40,54.20,3008207
2023-02-10,53.50,54.30,52.60,54.00,1696761
2023-02-13,53.10,53.60,52.50,53.40,1406340
2023-02-14,53.10,53.10,50.80,52.90,3118622
2023-02-15,52.70,52.90,50.90,52.90,3346862
2023-02-16,53.00,53.70,51.40,53.40,3241560
2023-02-17,53.40,53.50,52.20,53.50,1872572
2023-02-20,53.30,55.00,53.00,54.10,1517061
2023-02-21,54.20,54.70,53.70,54.30,1503769
2023-02-22,53.50,53.60,52.40,53.00,2558497
2023-02-23,52.80,53.10,51.10,53.00,2388323
2023-02-24,52.10,52.90,51.70,52.90,2206998
2023-02-27,52.00,52.50,51.40,52.50,1390624
2023-02-28,52.50,53.00,52.00,52.60,913373
2023-03-01,52.00,53.30,51.60,52.70,795590
2023-03-02,52.50,53.30,52.30,52.80,769696
2023-03-03,52.80,53.00,52.20,52.70,786515
2023-03-06,52.70,53.30,52.10,52.60,1570363
2023-03-07,53.00,53.20,52.40,52.70,1443135
2023-03-08,52.20,53.30,52.20,53.00,832601
2023-03-09,53.00,53.60,52.60,53.00,1038232
2023-03-10,53.00,53.30,52.50,53.10,900385
2023-03-13,53.10,53.40,52.50,53.30,997492
2023-03-14,53.20,53.20,52.60,53.00,1019920
2023-03-15,53.00,54.00,53.00,54.00,1178538
2023-03-16,54.00,55.70,53.00,53.30,3157702
2023-03-17,53.90,54.00,52.40,53.20,3121949
